problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error
321__create-maximum-number,cpp,new_transpiled_solutions/321__create-maximum-number/cpp/create-maximum-number_benchmark.cpp,0.008383393287658691,0.1499752,0.0126648,
321__create-maximum-number,python2,new_transpiled_solutions/321__create-maximum-number/cpp/create-maximum-number_with_tests.py,0.19609582424163818,3.1017498,0.0962583,
327__count-of-range-sum,cpp,new_transpiled_solutions/327__count-of-range-sum/cpp/count-of-range-sum_benchmark.cpp,0.06726207733154296,1.1061433999999999,0.0481016,
327__count-of-range-sum,python2,new_transpiled_solutions/327__count-of-range-sum/cpp/count-of-range-sum_with_tests.py,2.4215469121932984,38.0715274,0.8120219,
329__longest-increasing-path-in-a-matrix,cpp,new_transpiled_solutions/329__longest-increasing-path-in-a-matrix/cpp/longest-increasing-path-in-a-matrix_benchmark.cpp,0.007558393478393555,0.131793,0.010443000000000001,
329__longest-increasing-path-in-a-matrix,python2,new_transpiled_solutions/329__longest-increasing-path-in-a-matrix/cpp/longest-increasing-path-in-a-matrix_with_tests.py,0.17557952404022217,2.8688279999999997,0.085034,
32__longest-valid-parentheses,cpp,new_transpiled_solutions/32__longest-valid-parentheses/cpp/longest-valid-parentheses_benchmark.cpp,0.003449892997741699,0.057281200000000004,0.0049011,
32__longest-valid-parentheses,python2,new_transpiled_solutions/32__longest-valid-parentheses/cpp/longest-valid-parentheses_with_tests.py,0.12716999053955078,2.1412178,0.0765135,
330__patching-array,cpp,new_transpiled_solutions/330__patching-array/cpp/patching-array_benchmark.cpp,0.0031661272048950197,0.044085400000000004,0.0043822999999999996,
330__patching-array,python2,new_transpiled_solutions/330__patching-array/cpp/patching-array_with_tests.py,0.02035946846008301,0.3189383,0.0231689,
332__reconstruct-itinerary,cpp,new_transpiled_solutions/332__reconstruct-itinerary/cpp/reconstruct-itinerary_benchmark.cpp,0.014237546920776367,0.2089349,0.0152647,
332__reconstruct-itinerary,python2,new_transpiled_solutions/332__reconstruct-itinerary/cpp/reconstruct-itinerary_with_tests.py,0.11543827056884766,1.9152844,0.0680968,
