timestamp,slug,file,lang,status_msg,run_success,total_correct,total_testcases,status_runtime,status_memory,runtime_percentile,memory_percentile,question_id,submission_id,state
2025-10-16T11:11:00.635170Z,word-search-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0212__word-search-ii/python/word-search-ii.py,python,Time Limit Exceeded,False,64,65,N/A,N/A,None,None,212,1803292390,SUCCESS
2025-10-16T11:11:17.347560Z,shortest-palindrome,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0214__shortest-palindrome/python/shortest-palindrome.py,python,Accepted,True,126,126,75 ms,16.6 MB,64.17460000000011,56.38630000000002,214,1803292677,SUCCESS
2025-10-16T11:11:33.449310Z,the-skyline-problem,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0218__the-skyline-problem/python/the-skyline-problem.py,python,Accepted,True,44,44,107 ms,21.2 MB,18.227099999999968,88.17729999999999,218,1803292866,SUCCESS
2025-10-16T11:11:50.850226Z,contains-duplicate-iii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0220__contains-duplicate-iii/python/contains-duplicate-iii.py,python,Accepted,True,56,56,886 ms,40.1 MB,34.174300000000066,6.962000000000008,220,1803293036,SUCCESS
2025-10-16T11:12:07.323867Z,basic-calculator,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0224__basic-calculator/python/basic-calculator.py,python,Runtime Error,False,11,48,N/A,N/A,None,None,224,1803293219,SUCCESS
2025-10-16T11:12:22.720629Z,number-of-digit-one,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0233__number-of-digit-one/python/number-of-digit-one.py,python,Accepted,True,38,38,0 ms,12.4 MB,100,81.8965,233,1803293389,SUCCESS
2025-10-16T11:12:39.070497Z,sliding-window-maximum,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0239__sliding-window-maximum/python/sliding-window-maximum.py,python,Accepted,True,51,51,251 ms,27.7 MB,83.27080000000002,81.3552,239,1803293558,SUCCESS
2025-10-16T11:12:52.506534Z,strobogrammatic-number-iii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0248__strobogrammatic-number-iii/python/strobogrammatic-number-iii.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:13:05.355928Z,paint-house-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0265__paint-house-ii/python/paint-house-ii.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:13:18.695427Z,alien-dictionary,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0269__alien-dictionary/python/alien-dictionary.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
