problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/maximize-subarray-sum-after-removing-all-occurrences-of-one-element_solution_benchmark_v2.cpp,0.0051787614822387,0.0585997,0.005725,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/maximize-subarray-sum-after-removing-all-occurrences-of-one-element_benchmark_v2.py,0.1425108194351196,2.3248291,0.1012935,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/maximize-the-distance-between-points-on-a-square/maximize-the-distance-between-points-on-a-square_solution_benchmark_v2.cpp,0.0106645107269287,0.1171504999999999,0.0090455,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/maximize-the-distance-between-points-on-a-square/maximize-the-distance-between-points-on-a-square_benchmark_v2.py,0.294184947013855,4.8403624,0.1480221,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/maximize-the-number-of-target-nodes-after-connecting-trees-ii/maximize-the-number-of-target-nodes-after-connecting-trees-ii_solution_benchmark_v2.cpp,0.029329776763916,0.42495,0.0344542,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/maximize-the-number-of-target-nodes-after-connecting-trees-ii/maximize-the-number-of-target-nodes-after-connecting-trees-ii_benchmark_v2.py,0.2496277570724487,3.9427327,0.1305659,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/maximum-frequency-of-an-element-after-performing-operations-ii/maximum-frequency-of-an-element-after-performing-operations-ii_solution_benchmark_v2.cpp,0.0084306478500366,0.10343,0.0085143,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/maximum-frequency-of-an-element-after-performing-operations-ii/maximum-frequency-of-an-element-after-performing-operations-ii_benchmark_v2.py,0.2018408298492431,3.432694,0.120062,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/maximum-good-subtree-score/maximum-good-subtree-score_solution_benchmark_v2.cpp,0.013293433189392,0.1432308,0.0126892,
newv2_matched_kamyu_after,python2,newv2_matched_kamyu_after/maximum-good-subtree-score/maximum-good-subtree-score_benchmark_v2.py,0.1311895132064819,2.1049508,0.1001157,
newv2_CPP_CLEANED_AFTER,cpp,newv2_CPP_CLEANED_AFTER/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k_solution_benchmark_v2.cpp,0.02144136428833,0.2553461,0.0186706,
