problem,avg_duration_sec_cpp,avg_duration_sec_python,total_joules_cpp,total_joules_python,energy_gain_pct,runtime_gain_pct
count-the-number-of-arrays-with-k-matching-adjacent-elements,0.012922978401184,0.2906581401824951,0.1548338,3.9997027999999997,96.12886737484595,95.55389076904225
shortest-path-visiting-all-nodes,0.1590358734130859,3.3852601766586305,2.2111821000000003,57.435473200000004,96.15014558633426,95.30210781110301
merge-operations-for-minimum-travel-time,0.0142728090286254,0.3005614519119263,0.19457359999999999,5.0718863999999995,96.16368379228682,95.25128424226278
maximize-subarray-gcd-score,0.0151487588882446,0.3464860916137695,0.2141901,5.589725700000001,96.16814649777896,95.62788831791522
special-binary-string,0.0072895288467407,0.1612550735473633,0.08892800000000001,2.3226869999999997,96.17133087669583,95.47950418775528
find-the-number-of-subsequences-with-equal-gcd,0.1809031248092651,3.746248817443848,2.3713743999999997,62.6319626,96.2137951589593,95.17108623519836
expression-add-operators,0.0147891044616699,0.306680965423584,0.1790890999999999,4.8121216,96.2783754259244,95.17769078324004
lfu-cache,0.029738163948059,0.5707594633102417,0.3426626,9.2974737,96.31445475344555,94.78972038841265
subsequences-with-a-unique-middle-mode-i,0.0246970176696777,0.5725788354873658,0.3249931,9.1223216,96.43738607066868,95.68670440837091
n-queens-ii,2.119213366508484,46.02916169166565,27.8523703,795.9056651000001,96.50054378033602,95.39593316796773
strange-printer,0.0117231130599975,0.3467306137084961,0.1873775,5.4277575,96.54779160638624,96.61895644730888
numbers-at-most-n-given-digit-set,0.0055770874023437,0.1524224519729614,0.0732361,2.1504032,96.59430845341004,96.34103287924208
permutation-sequence,0.0047343015670776,0.1309900045394897,0.0631529,1.8891919,96.65714742901449,96.38575356667741
word-search-ii,0.0993035554885864,2.250801086425781,1.1866971,36.9760341,96.79063174598274,95.58807945813291
longest-special-path,0.0134614944458007,0.2671452760696411,0.1489377,4.6649601,96.80731031332937,94.96098353530628
russian-doll-envelopes,0.0060924291610717,0.1511372327804565,0.0747434,2.3463015,96.81441622059228,95.96894223283708
kth-smallest-number-in-multiplication-table,0.0535915374755859,0.94135160446167,0.5067247999999999,16.0016679,96.83330010867179,94.30695850290357
maximum-frequency-of-an-element-after-performing-operations-ii,0.0084306478500366,0.2018408298492431,0.1119443,3.552756,96.84908561128319,95.8231206954839
length-of-longest-v-shaped-diagonal-segment,0.0090482473373413,0.2410098552703857,0.1275081,4.0664935,96.8644213989276,96.24569404965196
